"","V1"
"1",34266
"2",77
"3",34781
"4",205
"5",464
"6",34208
"7",610
"8",34628
"9",335
"10",34484
"11",34087
"12",275
"13",34306
"14",34272
"15",34487
"16",34806
"17",307
"18",34862
"19",34554
"20",642
"21",34858
"22",34090
"23",34095
"24",34471
"25",630
"26",34360
"27",49
"28",34860
"29",34589
"30",293
"31",34096
"32",34511
"33",34445
"34",34650
"35",433
"36",34121
"37",73
"38",34543
"39",99
"40",299
"41",34822
"42",601
"43",166
"44",34467
"45",34839
"46",760
"47",34644
"48",34142
"49",34336
"50",34535
"51",638
"52",34434
"53",34548
"54",34094
"55",34256
"56",34595
"57",881
"58",355
"59",34848
"60",34282
"61",34415
"62",34479
"63",449
"64",417
"65",259
"66",34251
"67",34614
"68",34572
"69",473
"70",34365
"71",34849
"72",34108
"73",34176
"74",654
"75",34115
"76",491
"77",34429
"78",34347
"79",34169
"80",251
"81",34110
"82",34538
"83",895
"84",34521
"85",34119
"86",34569
"87",784
"88",876
"89",34297
"90",34397
"91",34825
"92",34313
"93",393
"94",34273
"95",34492
"96",263
"97",34851
"98",537
"99",521
"100",509
"101",34660
"102",34140
"103",89
"104",34143
"105",34164
"106",329
"107",283
"108",317
"109",233
"110",361
"111",34147
"112",217
"113",34185
"114",34166
"115",34378
"116",634
"117",67
"118",34657
"119",34342
"120",863
"121",34301
"122",852
"123",805
"124",662
"125",34245
"126",677
"127",34383
"128",541
"129",34654
"130",622
"131",616
"132",640
"133",34369
"134",34392
"135",34823
"136",34800
"137",34591
"138",229
"139",767
"140",581
"141",34502
"142",688
"143",189
"144",778
"145",34515
"146",34340
"147",34579
"148",34545
"149",34632
"150",34616
"151",573
"152",297
"153",34114
"154",327
"155",791
"156",34631
"157",754
"158",797
"159",79
"160",125
"161",34447
"162",34610
"163",154
"164",748
"165",34111
"166",34829
"167",173
"168",158
"169",184
"170",45
"171",34351
"172",34827
"173",719
"174",34353
"175",34099
"176",880
"177",34436
"178",34120
"179",34837
"180",34653
"181",842
"182",34785
"183",34317
"184",730
"185",34291
"186",34405
"187",34497
"188",585
"189",34597
"190",31
"191",39
"192",53
"193",61
"194",365
"195",349
"196",429
"197",560
"198",34195
"199",34505
"200",34414
"201",34612
"202",493
"203",519
"204",34395
"205",34469
"206",34156
"207",34642
"208",34260
"209",141
"210",82
"211",34567
"212",211
"213",445
"214",34604
"215",459
"216",311
"217",34152
"218",397
"219",34562
"220",383
"221",34808
"222",34513
"223",34237
"224",34393
"225",34813
"226",34233
"227",595
"228",34205
"229",34109
"230",34496
"231",34116
"232",836
"233",34789
"234",34591
"235",34340
"236",620
"237",34569
"238",756
"239",34369
"240",34297
"241",71
"242",553
"243",43
"244",34110
"245",75
"246",34464
"247",34395
"248",688
"249",34535
"250",34620
"251",34619
"252",678
"253",34531
"254",34090
"255",34310
"256",34810
"257",34393
"258",229
"259",34409
"260",34336
"261",34347
"262",461
"263",527
"264",77
"265",34647
"266",666
"267",614
"268",622
"269",34379
"270",650
"271",619
"272",673
"273",630
"274",34378
"275",658
"276",34187
"277",34143
"278",107
"279",211
"280",467
"281",34111
"282",34818
"283",34454
"284",774
"285",261
"286",34190
"287",731
"288",34289
"289",581
"290",34543
"291",34361
"292",34422
"293",34387
"294",34114
"295",573
"296",34152
"297",34497
"298",34364
"299",925
"300",34306
"301",560
"302",225
"303",34342
"304",34846
"305",34659
"306",34327
"307",790
"308",123
"309",231
"310",34272
"311",34457
"312",34120
"313",712
"314",34317
"315",605
"316",34526
"317",893
"318",34095
"319",914
"320",34595
"321",34164
"322",158
"323",34277
"324",34326
"325",156
"326",34793
"327",203
"328",154
"329",205
"330",195
"331",901
"332",34301
"333",860
"334",34473
"335",34783
"336",34351
"337",828
"338",34119
"339",34552
"340",34581
"341",34550
"342",913
"343",34089
"344",34431
"345",819
"346",876
"347",768
"348",684
"349",888
"350",780
"351",34411
"352",895
"353",689
"354",702
"355",34545
"356",34521
"357",852
"358",864
"359",34099
"360",870
"361",851
"362",882
"363",431
"364",509
"365",585
"366",34467
"367",34437
"368",34113
"369",63
"370",477
"371",34455
"372",87
"373",245
"374",34256
"375",47
"376",34273
"377",34481
"378",53
"379",19
"380",61
"381",583
"382",251
"383",505
"384",141
"385",34283
"386",34142
"387",34594
"388",34101
"389",259
"390",101
"391",34415
"392",34469
"393",473
"394",545
"395",541
"396",567
"397",487
"398",589
"399",34649
"400",34844
"401",34282
"402",491
"403",595
"404",447
"405",34260
"406",34261
"407",99
"408",34636
"409",82
"410",137
"411",34173
"412",357
"413",34227
"414",34515
"415",369
"416",339
"417",335
"418",34587
"419",289
"420",407
"421",34579
"422",34249
"423",34533
"424",34597
"425",301
"426",411
"427",365
"428",34558
"429",285
"430",34185
"431",34816
"432",395
"433",34147
"434",267
"435",34176
"436",317
"437",34239
"438",34556
"439",381
"440",393
"441",34159
"442",34405
"443",34811
"444",34635
"445",347
"446",263
"447",34140
"448",34424
"449",297
"450",241
"451",271
"452",215
"453",389
"454",34820
"455",34622
"456",599
"457",1060
"458",1286
"459",540
"460",370
"461",704
"462",1347
"463",1341
"464",1097
"465",1370
"466",1032
"467",306
"468",952
"469",306
"470",955
"471",306
"472",1030
"473",952
"474",32
"475",1416
"476",1414
"477",964
"478",1163
"479",1158
"480",6524
"481",6524
"482",1143
"483",873
"484",1072
"485",1302
"486",930
"487",1044
"488",998
"489",1219
"490",1495
"491",996
"492",268
"493",268
"494",1001
"495",8659
"496",1166
"497",2143
"498",2483
"499",1035
"500",3125
"501",6653
"502",56
"503",691
"504",1021
"505",1785
"506",2324
"507",304
"508",56
"509",1682
"510",1363
"511",879
"512",1322
"513",9199
"514",8342
"515",1082
"516",823
"517",2338
"518",2421
"519",1459
"520",1108
"521",969
"522",1746
"523",2565
"524",1062
"525",1819
"526",957
"527",1070
"528",1019
"529",691
"530",1163
"531",993
"532",6
"533",1765
"534",1052
"535",1012
"536",286
"537",1088
"538",2664
"539",1101
"540",2326
"541",1148
"542",2239
"543",950
"544",1137
"545",1446
"546",1782
"547",1371
"548",1151
"549",2394
"550",2008
"551",2302
"552",1440
"553",1707
"554",1155
"555",1086
"556",1155
"557",3225
"558",1635
"559",1786
"560",1120
"561",1136
"562",1094
"563",1964
"564",1020
"565",1594
"566",2517
"567",6166
"568",2017
"569",859
"570",12294
"571",1125
"572",1177
"573",16368
"574",9371
"575",1165
"576",1019
"577",272
"578",8202
"579",1064
"580",1174
"581",2359
"582",1718
"583",11332
"584",1248
"585",1024
"586",46
"587",1519
"588",6335
"589",1842
"590",494
"591",492
"592",1146
"593",46
"594",1578
"595",340
"596",1157
"597",1545
"598",9010
"599",1113
"600",1028
"601",1374
"602",1066
"603",1220
"604",988
"605",841
"606",1527
"607",1021
"608",1032
"609",9382
"610",1290
"611",711
"612",1237
"613",1108
"614",6
"615",1242
"616",1355
"617",1508
"618",1039
